,District,Price,Tel,combined_bs,cooking_space,dist,floor,house_type,lat,link,living_space,lon,metro_station,metro_time,new,rooms,separate_bs,total_floors,total_space,walk,metro_time_non,total_floors_non,living_space_non,cooking_space_non
96,0,8168388,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031334,40.8,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,40.8,1.0,0,1,0,1
97,0,8190000,0,1,6.0,7.33525876435,4,кирпичный,55.763523,147654877,20.0,37.556559,Улица 1905 года,5.0,0,1.0,0,9.0,32.0,1.0,0,0,0,0
98,0,8200000,1,1,5.6,6.21433901063,7,блочный,55.730831,147398175,32.3,37.674885,Пролетарская,7.0,0,2.0,0,9.0,44.6,1.0,0,0,0,0
99,0,8200000,0,1,9.0,5.82710964741,12,блочный,55.766724,150552626,18.0,37.673519,Бауманская,11.0,0,1.0,0,12.0,36.0,1.0,0,0,0,0
100,0,8200000,1,1,8.5,8.99578979458,2,кирпичный,55.761381,150418247,20.0,37.541404,Улица 1905 года,15.0,0,1.0,0,5.0,40.0,0.0,0,0,0,0
101,0,8221070,0,1,9.01186393805,5.90223679683,2,кирпичный,55.775824,150118029,52.7,37.67228,Красносельская,5.0,0,2.0,0,6.0,52.7,1.0,0,0,0,1
102,0,8300000,1,0,5.0,2.61546316303,1,кирпичный,55.770552,149494922,21.0,37.64162,Красные ворота,7.0,0,1.0,0,3.0,36.0,1.0,0,0,0,0
103,0,8300000,1,0,10.0,7.08484989273,7,Else,55.772639,148398513,17.0,37.684075,Бауманская,5.0,0,1.0,1,12.0,35.0,1.0,0,0,0,0
104,0,8350000,1,1,6.0,8.47728363333,4,Else,55.761872,150743539,26.0,37.546111,Улица 1905 года,15.0,0,2.0,0,5.0,42.0,1.0,0,0,0,0
105,0,8400000,1,1,6.0,5.80640596762,5,кирпичный,55.762505,144408040,19.0,37.570312,Краснопресненская,7.0,0,1.0,0,5.0,31.0,1.0,0,0,0,0
106,0,8400000,1,0,5.1,5.37650527056,9,кирпичный,55.771418,50540787,19.0,37.668435,Бауманская,6.0,0,1.0,1,9.0,32.0,1.0,0,0,0,0
107,0,8400000,1,1,8.0,8.57918929762,7,монолитный,55.775262,150538968,19.0,37.697388,Электрозаводская,14.0,0,1.0,0,16.0,39.0,0.0,0,0,0,0
108,0,8450000,0,1,8.0,4.88769882065,1,кирпичный,55.78398,149406966,17.0,37.659084,Красносельская,5.0,0,1.0,0,15.0,33.0,1.0,0,0,0,0
109,0,8500000,1,0,6.8,3.99976488393,3,сталинский,55.771312,149933565,25.7,37.655347,Комсомольская,9.0,0,2.0,1,6.0,39.4,1.0,0,0,0,0
110,0,8500000,1,0,6.8,3.99976488393,3,сталинский,55.771312,149933253,25.7,37.655347,Комсомольская,9.0,0,2.0,1,6.0,39.4,1.0,0,0,0,0
